Executavel,ModuloDominio,TipoAcao,NomeVisualOuTexto,CategoriaOrigem,StatusLayout,Fonte,Confianca,ValidacaoPendente
Estoque,auth/permissao,abrir/executar,\Nivel.Db,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,|Senha do usu,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,c_DigitaSenha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Digite a senha do usu,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Ed_Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Ed_SenhaEnter,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Ed_SenhaExit,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Ed_SenhaKeyPress,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,EIdSocksServerPermissionError,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,F_Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,F9 - Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,FC_DigSenha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Im_Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Lb_TitSenha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Nivel,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Sb_Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Sb_SenhaClick,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Senha n,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Senha1,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,SenhaEnabled,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Tb_CadVenSenha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Tb_CadVenSenhax,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Tb_Nivel,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Tb_Nivelh,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Tb_VendedorSenha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,TF_Senha,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,TF_SenhaD,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,TFC_DIGSENHA,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Verifique as permiss,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,VerifSenhaFil,autenticacao/permissao,texto_estatico_sem_posicao,strings funcionais do executavel,media,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,- Produto:,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,-Cliente:,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,-Produto:,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
