Fase,Titulo,Diretorio,Area,Criticidade,Status
FASE 001,Inventario raiz completo,docs\01-inventario,inventario,media,parcial/em andamento
FASE 002,Hash e integridade,docs\01-inventario,integridade,alta,parcial/em andamento
FASE 003,Snapshot e rollback,docs\19-snapshots,rollback,alta,parcial/em andamento
FASE 004,Inventario de executaveis,docs\01-inventario,binarios,alta,parcial/em andamento
FASE 005,Inventario de DLLs,docs\06-dependencias,dependencias,alta,parcial/em andamento
FASE 006,Identificacao de frameworks,docs\06-dependencias,arquitetura,media,parcial/em andamento
FASE 007,Engenharia reversa estatica,docs\02-runtime,reversing,alta,parcial/em andamento
FASE 008,Engenharia reversa dinamica,docs\02-runtime,runtime,alta,parcial/em andamento
FASE 009,Mapa de inicializacao,docs\02-runtime,startup,alta,planejada
FASE 010,Baseline de memoria,docs\03-memoria,memoria,media,planejada
FASE 011,Baseline de performance,docs\04-performance,performance,media,planejada
FASE 012,Mapa de processos filhos,docs\02-runtime,runtime,media,planejada
FASE 013,Mapa de handles e GDI,docs\03-memoria,memoria,media,planejada
FASE 014,Mapa de I/O e arquivos temporarios,docs\02-runtime,runtime,alta,planejada
FASE 015,Mapa de registry,docs\02-runtime,runtime,media,planejada
FASE 016,Mapa de configuracoes,docs\01-inventario,config,media,planejada
FASE 017,Mapa de logs legados,docs\07-observabilidade,logs,media,planejada
FASE 018,Mapa de banco Paradox/BDE,docs\10-database,database,critica,planejada
FASE 019,Dicionario de dados refinado,docs\10-database,database,alta,planejada
FASE 020,Relacionamentos e entidades,docs\10-database,database,alta,planejada
FASE 021,Integridade e corrupcao de dados,docs\10-database,database,critica,planejada
FASE 022,Mapa de permissoes legado,docs\08-auth,auth,alta,planejada
FASE 023,Fluxo de login legado,docs\08-auth,auth,alta,planejada
FASE 024,Persistencia de sessao,docs\08-auth,auth,alta,planejada
FASE 025,Codificacao de senha,docs\08-auth,auth,alta,planejada
FASE 026,Licenciamento legado,docs\09-licensing,licensing,critica,planejada
FASE 027,Hardware binding legado,docs\09-licensing,licensing,alta,planejada
FASE 028,Mapa de dispositivos,docs\09-licensing,licensing,media,planejada
FASE 029,Mapa de comunicacao externa,docs\05-comunicacoes,comunicacao,critica,planejada
FASE 030,Captura de trafego HTTP,docs\05-comunicacoes,comunicacao,critica,planejada
FASE 031,Comportamento offline,docs\05-comunicacoes,offline,alta,planejada
FASE 032,Comportamento online,docs\05-comunicacoes,online,alta,planejada
FASE 033,Mapa de sincronizacao,docs\05-comunicacoes,sync,critica,planejada
FASE 034,Mapa de atualizacao automatica,docs\05-comunicacoes,update,critica,planejada
FASE 035,Classificacao de endpoint externo,docs\05-comunicacoes,comunicacao,critica,planejada
